week,Sum of num_orders
1,792261
2,787084
3,695262
4,743529
5,1198675
6,947288
7,934803
8,670518
9,723243
10,811825
11,772225
12,690259
13,656102
14,636981
15,651719
16,611515
17,820285
18,932560
19,787196
20,677834
21,707013
22,834111
23,773271
24,647341
25,749583
26,805805
27,740014
28,648863
29,625414
30,915399
31,783214
32,1034202
33,730936
34,693603
35,630458
36,724865
37,877853
38,974566
39,770964
40,807159
41,791493
42,766289
43,693271
44,738583
45,981199
46,862620
47,808269
48,1303457
49,936980
50,890778
51,723036
52,1046811
53,1108236
54,757268
55,875145
56,843250
57,916721
58,834445
59,776781
60,1131459
61,860105
62,380065
63,812075
64,784508
65,844869
66,710083
67,756281
68,1009974
69,1075188
70,1004649
71,1015726
72,732551
73,702678
74,789591
75,970760
76,902928
77,833394
78,862030
79,1004611
80,698063
81,681412
82,859477
83,900091
84,768315
85,860433
86,823515
87,805140
88,745193
89,743489
90,849868
91,834397
92,908145
93,900170
94,825030
95,905841
96,765117
97,609977
98,894021
99,742048
100,1088162
101,999447
102,890983
103,713569
104,774644
105,891479
106,847485
107,783851
108,908764
109,1068318
110,889255
111,892631
112,852107
113,889696
114,813601
115,805469
116,855465
117,809625
118,777707
119,811709
120,753871
121,950500
122,944706
123,889926
124,827257
125,750541
126,810838
127,762737
128,878397
129,843661
130,920019
131,899953
132,939374
133,835583
134,975072
135,777106
136,769623
137,719740
138,667343
139,751935
140,802689
141,776240
142,739661
143,759926
144,801197
145,671926
